"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"27001","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Aitkin, MN ",19143,21221,24461,27434,30629,34285,38170,42676,47949,54141,60851,64566,66850,68030,72312,72966,75039,78731,80121,75924,77113,82081,85125
"27001","4","CA91","20","1990","Outflows of earnings","Aitkin, MN ",5732,6305,6981,7754,8831,9675,10948,12063,13333,15024,17185,19687,21679,22581,23666,23400,24105,24729,24791,23731,23750,24049,24175
"27001","4","CA91","30","1990","Residence adjustment","Aitkin, MN ",13411,14916,17480,19680,21798,24610,27222,30613,34616,39117,43666,44879,45171,45449,48646,49566,50934,54002,55330,52193,53363,58032,60950
"27003","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Anoka, MN ",2389966,2487908,2673229,2853323,3031380,3228495,3439528,3699416,3983600,4335557,4722698,5015180,5016829,5184612,5480352,5616223,5719977,6044736,6222338,5844908,6006444,6397540,6557567
"27003","4","CA91","20","1990","Outflows of earnings","Anoka, MN ",952195,1030826,1139709,1167911,1237452,1318075,1411913,1512402,1691751,1800936,1973914,2008434,2098776,2205307,2324849,2470080,2548073,2655000,2628648,2461984,2523016,2734958,2880443
"27003","4","CA91","30","1990","Residence adjustment","Anoka, MN ",1437771,1457082,1533520,1685412,1793928,1910420,2027615,2187014,2291849,2534621,2748784,3006746,2918053,2979305,3155503,3146143,3171904,3389736,3593690,3382924,3483428,3662582,3677124
"27005","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Becker, MN ",37800,41776,47752,52462,58548,64280,69880,76647,84408,92686,101291,109994,115458,121661,128534,130817,136082,142722,150551,148340,150240,160362,168968
"27005","4","CA91","20","1990","Outflows of earnings","Becker, MN ",23824,25796,27053,29163,32636,34897,38490,41259,46405,51634,57544,60880,64424,67942,70648,74415,77125,82310,83807,83496,86995,92076,97000
"27005","4","CA91","30","1990","Residence adjustment","Becker, MN ",13976,15980,20699,23299,25912,29383,31390,35388,38003,41052,43747,49114,51034,53719,57886,56402,58957,60412,66744,64844,63245,68286,71968
"27007","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Beltrami, MN ",28199,30001,32547,36294,39544,42088,44705,47122,50166,54961,60463,66975,69823,71084,73126,73233,73364,77428,80494,79474,82764,87740,91432
"27007","4","CA91","20","1990","Outflows of earnings","Beltrami, MN ",33921,36480,39658,42678,47629,51376,55765,60852,66217,70268,77433,82049,87299,91663,95418,96444,100870,104226,108333,115544,113391,115192,120518
