"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"04001","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Apache, AZ ",36903,40443,43118,45432,46215,49159,52134,56231,62131,68815,73379,89055,91824,94193,98885,101367,110425,115623,114905,106067,104037,107961,112451
"04001","6","CA91","20","1990","Outflows of earnings","Apache, AZ ",87263,92563,98389,108290,110766,112424,121669,120863,123807,137815,141173,153024,160964,171304,178500,192047,198799,213505,226182,231250,232789,241321,235814
"04001","6","CA91","30","1990","Residence adjustment","Apache, AZ ",-50360,-52120,-55271,-62858,-64551,-63265,-69535,-64632,-61676,-69000,-67794,-63969,-69140,-77111,-79615,-90680,-88374,-97882,-111277,-125183,-128752,-133360,-123363
"04003","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cochise, AZ ",32643,35228,38425,41188,46140,50038,54008,57895,63526,69862,76903,82114,84457,88438,94799,102523,112542,121665,126146,120588,122215,129324,133726
"04003","6","CA91","20","1990","Outflows of earnings","Cochise, AZ ",47409,50488,54043,53620,55667,56416,57897,60364,63356,64345,70537,66820,72007,77362,83764,97528,99153,105617,108827,111446,114805,117964,113811
"04003","6","CA91","30","1990","Residence adjustment","Cochise, AZ ",-14766,-15260,-15618,-12432,-9527,-6378,-3889,-2469,170,5517,6366,15294,12450,11076,11035,4995,13389,16048,17319,9142,7410,11360,19915
"04005","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Coconino, AZ ",53989,57110,62551,68748,76936,84251,92031,100811,112230,121997,135015,155705,161890,169206,182517,199760,217544,230027,229141,213373,209834,218548,225538
"04005","6","CA91","20","1990","Outflows of earnings","Coconino, AZ ",74032,79309,87925,93321,100449,107497,115106,119696,127753,135782,146275,145501,153948,162812,175743,190409,210253,231621,234831,223171,225809,236683,244112
"04005","6","CA91","30","1990","Residence adjustment","Coconino, AZ ",-20043,-22199,-25374,-24573,-23513,-23246,-23075,-18885,-15523,-13785,-11260,10204,7942,6394,6774,9351,7291,-1594,-5690,-9798,-15975,-18135,-18574
"04007","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Gila, AZ ",34977,36236,39105,41353,45342,51328,58285,60777,65849,70616,76887,81903,83993,86538,93291,102703,113957,122947,124215,116410,114742,121766,126729
"04007","6","CA91","20","1990","Outflows of earnings","Gila, AZ ",42722,45873,47937,50348,54505,49674,52715,52458,54572,55010,57100,67849,63628,62914,67098,71023,80118,88599,100145,93838,101179,112961,117696
"04007","6","CA91","30","1990","Residence adjustment","Gila, AZ ",-7745,-9637,-8832,-8995,-9163,1654,5570,8319,11277,15606,19787,14054,20365,23624,26193,31680,33839,34348,24070,22572,13563,8805,9033
"04009","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Graham, AZ ",32486,36469,41394,44150,48939,57094,61326,65852,66050,63887,74606,71423,65647,66850,72846,79969,94059,108879,138942,96805,95210,105937,114237
"04009","6","CA91","20","1990","Outflows of earnings","Graham, AZ ",7880,8307,8709,9033,9790,10220,10826,11213,11532,12092,12414,8882,9449,9816,10664,12337,14460,19723,21075,17912,17650,19742,21180
"04009","6","CA91","30","1990","Residence adjustment","Graham, AZ ",24606,28162,32685,35117,39149,46874,50500,54639,54518,51795,62192,62541,56198,57034,62182,67632,79599,89156,117867,78893,77560,86195,93057
"04011","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Greenlee, AZ ",2248,2510,2801,3127,3538,3879,4243,4605,4997,5378,5690,5096,5163,5451,5988,6883,7661,10150,10367,9193,8929,9868,10434
"04011","6","CA91","20","1990","Outflows of earnings","Greenlee, AZ ",22692,26962,32081,35448,39760,52351,55811,60869,60472,57203,70325,63095,54305,54012,60202,65869,81030,96582,130698,81426,79856,90927,100235
"04011","6","CA91","30","1990","Residence adjustment","Greenlee, AZ ",-20444,-24452,-29280,-32321,-36222,-48472,-51568,-56264,-55475,-51825,-64635,-57999,-49142,-48561,-54214,-58986,-73369,-86432,-120331,-72233,-70927,-81059,-89801
"04012","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","La Paz, AZ ",6832,7884,8936,9949,11308,12644,14026,15805,18267,20840,23878,30363,32391,34893,38226,41501,45419,48764,50174,48686,48895,50523,51543
"04012","6","CA91","20","1990","Outflows of earnings","La Paz, AZ ",19152,19402,19467,20659,22931,24488,24551,27199,29268,30367,31118,24203,24419,25874,28709,30787,33515,35043,33163,31746,32178,33662,35710
"04012","6","CA91","30","1990","Residence adjustment","La Paz, AZ ",-12320,-11518,-10531,-10710,-11623,-11844,-10525,-11394,-11001,-9527,-7240,6160,7972,9019,9517,10714,11904,13721,17011,16940,16717,16861,15833
"04013","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Maricopa, AZ ",495620,540401,606693,666789,749545,830284,928946,989258,1049069,1131558,1214294,1261588,1272078,1309954,1419237,1470895,1528108,1657172,1452678,1579806,1949013,1985562,2155591
"04013","6","CA91","20","1990","Outflows of earnings","Maricopa, AZ ",464359,500032,551655,617503,712252,827395,944839,1112297,1341123,1536220,1830155,2000581,2038036,2191045,2405946,2819875,3372993,3649757,3974300,4029315,4589567,4912658,5020850
"04013","6","CA91","30","1990","Residence adjustment","Maricopa, AZ ",31261,40369,55038,49286,37293,2889,-15893,-123039,-292054,-404662,-615861,-738993,-765958,-881091,-986709,-1348980,-1844885,-1992585,-2521622,-2449509,-2640554,-2927096,-2865259
"04015","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Mohave, AZ ",187771,196237,212073,231295,255189,277691,303674,329446,360027,398764,431104,463861,481038,519989,588785,649534,698796,749308,757321,702491,706981,737742,765738
"04015","6","CA91","20","1990","Outflows of earnings","Mohave, AZ ",23489,26121,29875,33338,38966,43593,48918,54262,61677,70089,80869,97426,106654,112940,121862,136308,149891,151531,148706,130943,130679,133192,135266
"04015","6","CA91","30","1990","Residence adjustment","Mohave, AZ ",164282,170116,182198,197957,216223,234098,254756,275184,298350,328675,350235,366435,374384,407049,466923,513226,548905,597777,608615,571548,576302,604550,630472
